2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Ageing Engine initialised.
2026-07-15 06:30:02 | INFO | Ageing Engine started.
2026-07-15 06:30:02 | INFO | Ageing Engine completed for 2 row(s).
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Loaded configuration: business_rules.json
2026-07-15 06:30:02 | INFO | Business Rule Engine initialised.
2026-07-15 06:30:02 | INFO | Applying business rules to master dataset.
2026-07-15 06:30:02 | INFO | Business rules applied to 2 row(s).
2026-07-15 06:30:02 | INFO | Loaded configuration: schema.json
2026-07-15 06:30:02 | INFO | Loaded configuration: stages.json
2026-07-15 06:30:02 | INFO | Cleaner initialised.
2026-07-15 06:30:02 | INFO | Removed 1 blank row(s).
2026-07-15 06:30:02 | INFO | Loaded configuration: schema.json
